PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
chr8-2892,chr8,37472286,37472459,+,1,NA,Intergenic,MIRb|SINE|MIR,-80928,NM_025069,80139,Hs.744591,NM_025069,,ZNF703,ZEPPO1|ZNF503L|ZPO1,zinc finger protein 703,protein-coding
chr4-746,chr4,137322955,137323128,+,1,NA,Intergenic,Intergenic,-488207,NR_103763,100507528,Hs.730081,NR_103762,ENSG00000248330,LINC00613,RP11-782E2.1,long intergenic non-protein coding RNA 613,ncRNA
chr1-7251,chr1,226811437,226811610,+,1,NA,Intergenic,L1MC4a|LINE|L1,51245,NR_103784,100506443,Hs.664293,NR_103784,,ITPKB-IT1,-,ITPKB intronic transcript 1 (non-protein coding),ncRNA
chr14-485,chr14,80360569,80360742,+,1,NA,Intergenic,L1M5|LINE|L1,-317106,NR_038355,100628307,Hs.623865,NR_038355,ENSG00000258766,DIO2-AS1,-,DIO2 antisense RNA 1,ncRNA
chr11-1487,chr11,91515218,91515391,+,1,NA,Intergenic,THE1B|LTR|ERVL-MaLR,-569957,NM_001008781,120114,Hs.98523,XM_005273759,ENSG00000165323,FAT3,CDHF15|CDHR10,FAT atypical cadherin 3,protein-coding
chr3-3000,chr3,150240339,150240512,+,1,NA,Intergenic,Intergenic,24002,NM_014445,27230,Hs.713956,NM_014445,ENSG00000120742,SERP1,RAMP4,stress-associated endoplasmic reticulum protein 1,protein-coding
chr8-933,chr8,132127031,132127204,+,1,NA,Intergenic,L1MA1|LINE|L1,-74283,NM_001115,114,Hs.591859,XM_005250769,ENSG00000155897,ADCY8,AC8|ADCY3|HBAC1,adenylate cyclase 8 (brain),protein-coding
chr5-926,chr5,85472086,85472259,+,1,NA,Intergenic,L1M5|LINE|L1,-106089,NR_003719,285622,Hs.449272,NR_003719,,NBPF22P,-,"neuroblastoma breakpoint family: member 22: pseudogene",pseudo
chr2-72,chr2,13373398,13373571,+,1,NA,Intergenic,L1M5|LINE|L1,-226347,NR_038434,100506474,Hs.242196,XR_241245,ENSG00000225649,LOC100506474,-,uncharacterized LOC100506474,ncRNA
chr5-5009,chr5,67135732,67135905,+,1,NA,Intergenic,L1MC3|LINE|L1,-349885,NR_105003,102467655,Hs.544102,NR_105003,,LOC102467655,-,uncharacterized LOC102467655,ncRNA
chr3-7314,chr3,157811110,157811283,+,1,NA,Intergenic,Intergenic,12755,NM_003030,6474,Hs.55967,NM_001163678,,SHOX2,OG12|OG12X|SHOT,short stature homeobox 2,protein-coding
chr3-1081,chr3,114893499,114893672,+,1,NA,Intergenic,L1MCa|LINE|L1,-27459,NM_015642,26137,Hs.744879,XM_005247325,ENSG00000181722,ZBTB20,DPZF|HOF|ODA-8S|RP11-553L6.5|ZNF288,zinc finger and BTB domain containing 20,protein-coding
chr16-96,chr16,62214783,62214956,+,1,NA,Intergenic,L1MA4|LINE|L1,-144131,NM_001796,1006,Hs.368322,XM_005255759,ENSG00000150394,CDH8,Nbla04261,"cadherin 8: type 2",protein-coding
chr5-5627,chr5,89334741,89334914,+,1,NA,Intergenic,MLT1J2|LTR|ERVL-MaLR,-22291,NR_037433,100500825,,NR_037433,ENSG00000264342,MIR3660,-,microRNA 3660,ncRNA
chr5-1450,chr5,8097749,8097922,+,1,NA,Intergenic,Intergenic,228619,NM_024010,4552,Hs.481551,XM_005248304,ENSG00000124275,MTRR,MSR|cblE,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,protein-coding
chr13-2620,chr13,23479636,23479809,+,1,NA,Intergenic,L1MB8|LINE|L1,-7403,NR_033774,646201,Hs.729338,NR_033774,,BASP1P1,-,"brain abundant: membrane attached signal protein 1 pseudogene 1",pseudo
chr1-1344,chr1,241542363,241542536,+,1,NA,Intergenic,Intergenic,-21920,NM_001282773,6000,Hs.655739,XM_005273218,ENSG00000182901,RGS7,-,regulator of G-protein signaling 7,protein-coding
chr18-137,chr18,37439802,37439975,+,1,NA,Intergenic,Intergenic,-107930,NR_024391,647946,Hs.649350,NR_024391,ENSG00000267374,LINC00669,RP11-244M2.1,long intergenic non-protein coding RNA 669,ncRNA
chr14-1905,chr14,42625229,42625402,+,1,NA,Intergenic,L2a|LINE|L2,548552,NM_152447,145581,Hs.136893,XM_005267368,ENSG00000165379,LRFN5,C14orf146|FIGLER8|SALM5,leucine rich repeat and fibronectin type III domain containing 5,protein-coding
chr4-104,chr4,95117597,95117770,+,1,NA,Intergenic,Intergenic,-11075,NM_001128430,56916,Hs.410406,NM_001128429,ENSG00000163104,SMARCAD1,ADERM|ETL1|HEL1,"SWI/SNF-related: matrix-associated actin-dependent regulator of chromatin: subfamily a: containing DEAD/H box 1",protein-coding
chr17-228,chr17,28687466,28687639,+,1,NA,Intergenic,U6|snRNA|snRNA,-18389,NM_001304,1362,Hs.446079,NM_001199775,ENSG00000108582,CPD,GP180,carboxypeptidase D,protein-coding
chr4-4300,chr4,150160734,150160907,+,1,NA,Intergenic,Intergenic,-797149,NM_001166104,4306,Hs.163924,XM_005263014,ENSG00000151623,NR3C2,MCR|MLR|MR|NR3C2VIT,"nuclear receptor subfamily 3: group C: member 2",protein-coding
chr6-410,chr6,104761602,104761775,+,1,NA,Intergenic,Tigger3b|DNA|TcMar-Tigger,546105,NR_104424,57531,Hs.434340,XM_005267071,ENSG00000085382,HACE1,-,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,protein-coding
chr4-48,chr4,90924705,90924878,+,1,NA,Intergenic,Intergenic,108740,NM_007351,22915,Hs.268107,XM_005262856,ENSG00000138722,MMRN1,ECM|EMILIN4|GPIa*|MMRN,multimerin 1,protein-coding
chr9-3220,chr9,106411125,106411298,+,1,NA,Intergenic,Intergenic,-350778,NR_109803,101928523,,XR_242660,,LOC101928523,-,uncharacterized LOC101928523,ncRNA
chr11-751,chr11,119753540,119753713,+,1,NA,Intergenic,MLT1L|LTR|ERVL-MaLR,-154192,NM_203285,5818,Hs.334846,NM_002855,ENSG00000110400,PVRL1,CD111|CLPED1|ED4|HIgR|HVEC|OFC7|PRR|PRR1|PVRR|PVRR1|SK-12|nectin-1,poliovirus receptor-related 1 (herpesvirus entry mediator C),protein-coding
chr7-472,chr7,10462208,10462381,+,1,NA,Intergenic,Intergenic,517518,NM_002489,4697,Hs.50098,NM_002489,ENSG00000189043,NDUFA4,CI-9k|CI-MLRQ|MLRQ,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex: 4: 9kDa",protein-coding
chr8-1846,chr8,104489304,104489477,+,1,NA,Intergenic,L1MC4a|LINE|L1,-23585,NM_001100117,9699,Hs.735969,XM_005251106,,RIMS2,OBOE|RAB3IP3|RIM2,regulating synaptic membrane exocytosis 2,protein-coding
chr4-3325,chr4,96641484,96641657,+,1,NA,Intergenic,Intergenic,-119668,NM_005390,5161,Hs.131361,NM_005390,ENSG00000163114,PDHA2,PDHAL,pyruvate dehydrogenase (lipoamide) alpha 2,protein-coding
chr19-68,chr19,6556121,6556294,+,1,NA,Intergenic,L1MEd|LINE|L1,25198,NM_003811,8744,Hs.1524,NM_003811,ENSG00000125657,TNFSF9,4-1BB-L|CD137L,"tumor necrosis factor (ligand) superfamily: member 9",protein-coding
chr4-2077,chr4,181364221,181364394,+,1,NA,Intergenic,MIRb|SINE|MIR,715994,NR_033918,728081,Hs.535735,NR_033918,ENSG00000248197,LINC00290,NCRNA00290|RP11-810C20.1,long intergenic non-protein coding RNA 290,ncRNA
chr16-1048,chr16,77008441,77008614,+,1,NA,Intergenic,L1MEf|LINE|L1,105695,NR_039870,100616172,,NR_039870,ENSG00000266426,MIR4719,-,microRNA 4719,ncRNA
chr7-3167,chr7,23253202,23253375,+,1,NA,Intergenic,MER50|LTR|ERV1,31843,NM_007342,11097,Hs.408241,XM_005249592,ENSG00000136243,NUPL2,CG1|NLP-1|NLP_1|hCG1,nucleoporin like 2,protein-coding
chr11-1240,chr11,56456764,56456937,+,1,NA,Intergenic,L1ME3A|LINE|L1,-11013,NM_001005213,390174,Hs.553752,XM_003846477,ENSG00000174914,OR9G1,OR9G5,"olfactory receptor: family 9: subfamily G: member 1",protein-coding
chr3-7023,chr3,147881992,147882165,+,1,NA,Intergenic,Intergenic,-533579,NM_009585,185,Hs.744837,NM_000685,ENSG00000144891,AGTR1,AG2S|AGTR1A|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|AT2R1A|AT2R1B|HAT1R,"angiotensin II receptor: type 1",protein-coding
chr4-1757,chr4,137759522,137759695,+,1,NA,Intergenic,MSTA|LTR|ERVL-MaLR,694020,NM_019035,54510,Hs.738416,XM_005263070,ENSG00000189184,PCDH18,PCDH68L,protocadherin 18,protein-coding
chr6-564,chr6,18948275,18948448,+,1,NA,Intergenic,L1ME2z|LINE|L1,376347,NR_030312,693125,,NR_030312,ENSG00000207775,MIR548A1,MIRN548A1,microRNA 548a-1,ncRNA
chr9-2118,chr9,18234690,18234863,+,1,NA,Intergenic,Intergenic,-239302,NM_052866,92949,Hs.741483,NM_139238,ENSG00000178031,ADAMTSL1,ADAMTSL-1|ADAMTSR1|C9orf94|PUNCTIN,ADAMTS-like 1,protein-coding
chr8-5482,chr8,138404452,138404625,+,1,NA,Intergenic,Intergenic,1104526,NM_015912,51059,Hs.126024,XM_005250928,ENSG00000147724,FAM135B,C8ORFK32,"family with sequence similarity 135: member B",protein-coding
chr5-12,chr5,21710085,21710258,+,1,NA,Intergenic,Tigger1|DNA|TcMar-Tigger,250583,NR_027028,728411,Hs.88181,NM_207331,ENSG00000183666,GUSBP1,-,"glucuronidase: beta pseudogene 1",pseudo
chr5-1845,chr5,41895930,41896103,+,1,NA,Intergenic,Intergenic,-8453,NM_175921,285636,Hs.29899,XM_005248289,ENSG00000205765,C5orf51,-,chromosome 5 open reading frame 51,protein-coding
chr18-1358,chr18,2411162,2411335,+,1,NA,Intergenic,Intergenic,160240,NM_022840,64863,Hs.126888,XM_005258131,ENSG00000101574,METTL4,HsT661,methyltransferase like 4,protein-coding
chr18-1547,chr18,14054099,14054272,+,1,NA,Intergenic,Intergenic,78303,NM_145287,162655,Hs.352635,NM_145287,,ZNF519,HsT2362,zinc finger protein 519,protein-coding
chr3-8060,chr3,176291452,176291625,+,1,NA,Intergenic,Intergenic,61781,NR_109968,100505547,Hs.253350,XR_108514,ENSG00000223715,RP11-71G7.1,-,uncharacterized LOC100505547,ncRNA
chr4-10626,chr4,175782108,175782281,+,1,NA,Intergenic,Intergenic,-31729,NM_006529,8001,Hs.413099,XM_005263235,ENSG00000145451,GLRA3,-,"glycine receptor: alpha 3",protein-coding
chr4-614,chr4,104130147,104130320,+,1,NA,Intergenic,L1ME1|LINE|L1,-10668,NM_001286734,1062,Hs.75573,XM_005262699,ENSG00000138778,CENPE,CENP-E|KIF10|PPP1R61,"centromere protein E: 312kDa",protein-coding
chr4-4012,chr4,133600947,133601120,+,1,NA,Intergenic,Intergenic,-469436,NM_032961,57575,Hs.192859,NM_020815,,PCDH10,OL-PCDH|PCDH19,protocadherin 10,protein-coding
chr1-6009,chr1,184108289,184108462,+,1,NA,Intergenic,AluJr|SINE|Alu,87565,NR_023349,116461,Hs.548197,NM_001127394,ENSG00000198860,TSEN15,C1orf19|sen15,TSEN15 tRNA splicing endonuclease subunit,protein-coding
chr4-8145,chr4,112875552,112875725,+,1,NA,Intergenic,Intergenic,-190914,NM_152400,132720,Hs.23439,NM_152400,,C4orf32,-,chromosome 4 open reading frame 32,protein-coding
chr11-2554,chr11,34727048,34727221,+,1,NA,Intergenic,L1MA2|LINE|L1,73124,NM_001206616,26298,Hs.653859,XM_005252857,,EHF,ESE3|ESE3B|ESEJ,ets homologous factor,protein-coding
chr12-4353,chr12,88371240,88371413,+,1,NA,Intergenic,ERVL-B4-int|LTR|ERVL,51849,NM_152589,160419,Hs.112930,XM_005268685,ENSG00000165805,C12orf50,-,chromosome 12 open reading frame 50,protein-coding
chr4-1716,chr4,134624728,134624901,+,1,NA,Intergenic,Intergenic,498088,NM_001114734,132430,Hs.49889,NM_001114734,ENSG00000254535,PABPC4L,-,"poly(A) binding protein: cytoplasmic 4-like",protein-coding
chr7-5971,chr7,155190001,155190174,+,1,NA,Intergenic,MLT1C|LTR|ERVL-MaLR,-29460,NR_103545,338436,Hs.521326,NR_103545,ENSG00000204960,BLACE,-,B-cell acute lymphoblastic leukemia expressed,ncRNA
chr2-4485,chr2,22385314,22385487,+,1,NA,Intergenic,Intergenic,-451877,NR_038837,645949,Hs.742487,NR_038837,ENSG00000229621,AC018742.1,-,uncharacterized LOC645949,ncRNA
chr15-750,chr15,75532321,75532494,+,1,NA,Intergenic,(TC)n|Simple_repeat|Simple_repeat,-18491,NM_001164404,653641,Hs.540230,NM_001164404,,GOLGA6C,-,"golgin A6 family: member C",protein-coding
chr22-72,chr22,34628866,34629039,+,1,NA,Intergenic,L1MA4|LINE|L1,-312537,NM_004737,9215,Hs.474667,XM_005261831,ENSG00000133424,LARGE,MDC1D|MDDGA6|MDDGB6,like-glycosyltransferase,protein-coding
chr6-333,chr6,75228678,75228851,+,1,NA,Intergenic,Intergenic,686858,NM_080645,1303,Hs.101302,NM_004370,ENSG00000111799,COL12A1,BA209D8.1|COL12A1L|DJ234P15.1,"collagen: type XII: alpha 1",protein-coding
chr3-1046,chr3,109330009,109330182,+,1,NA,Intergenic,(TA)n|Simple_repeat|Simple_repeat,201259,NM_001145553,401082,Hs.477089,NM_001145553,,FLJ25363,RP11-702L6.4,uncharacterized LOC401082,ncRNA
chr2-3504,chr2,183661748,183661921,+,1,NA,Intergenic,L1MC4a|LINE|L1,69663,NM_001463,2487,Hs.128453,NM_001463,ENSG00000162998,FRZB,FRE|FRITZ|FRP-3|FRZB-1|FRZB-PEN|FRZB1|FZRB|OS1|SFRP3|SRFP3|hFIZ,frizzled-related protein,protein-coding
chr3-2604,chr3,110412465,110412638,+,1,NA,Intergenic,Intergenic,376254,NR_045114,100506555,Hs.535689,NR_045114,,PVRL3-AS1,RP11-553A10.2,PVRL3 antisense RNA 1,ncRNA
chrX-318,chrX,126752737,126752910,+,1,NA,Intergenic,L1MA5|LINE|L1,433558,NM_138289,139741,Hs.680125,NM_138289,ENSG00000123165,ACTRT1,AIP1|ARIP1|ARPT1|HSD27,actin-related protein T1,protein-coding
chr6-11,chr6,9470998,9471171,+,1,NA,Intergenic,(GA)n|Simple_repeat|Simple_repeat,818643,NR_004855,728655,Hs.214343,NR_004855,ENSG00000251164,HULC,HCCAT1|LINC00078|NCRNA00078,hepatocellular carcinoma up-regulated long non-coding RNA,ncRNA
chr21-733,chr21,22265862,22266035,+,1,NA,Intergenic,MamRep605|Unknown|Unknown,-90523,NR_109787,387486,Hs.576551,XR_244272,ENSG00000224924,LINC00320,C21orf131|NCRNA00320|PRED14,long intergenic non-protein coding RNA 320,ncRNA
chr1-887,chr1,103286267,103286440,+,1,NA,Intergenic,Intergenic,287698,NM_080630,1301,Hs.523446,NM_001190709,ENSG00000060718,COL11A1,CO11A1|COLL6|STL2,"collagen: type XI: alpha 1",protein-coding
chr4-4677,chr4,174416341,174416514,+,1,NA,Intergenic,Intergenic,34950,NM_021973,9464,Hs.388245,XM_005263357,ENSG00000164107,HAND2,DHAND2|Hed|Thing2|bHLHa26|dHand,heart and neural crest derivatives expressed 2,protein-coding
chr5-76,chr5,119504617,119504790,+,1,NA,Intergenic,L1MC1|LINE|L1,-295315,NM_016644,51334,Hs.157461,XM_005272010,ENSG00000184838,PRR16,DSC54,proline rich 16,protein-coding
chr22-63,chr22,32357271,32357444,+,1,NA,Intergenic,MIRb|SINE|MIR,-16022,NM_015372,25775,Hs.627602,XM_005261497,ENSG00000128254,C22orf24,HSN44A4A,chromosome 22 open reading frame 24,protein-coding
chr4-4888,chr4,189941656,189941829,+,1,NA,Intergenic,Intergenic,565011,NR_033869,401164,Hs.435756,XR_244624,ENSG00000249378,LINC01060,RP11-219G10.3,long intergenic non-protein coding RNA 1060,ncRNA
chr2-6436,chr2,129957344,129957517,+,1,NA,Intergenic,MER31A|LTR|ERV1,335257,NR_110278,101927881,Hs.570247,XR_244849,,LOC101927881,-,uncharacterized LOC101927881,ncRNA
chr18-545,chr18,2443176,2443349,+,1,NA,Intergenic,Intergenic,128226,NM_022840,64863,Hs.126888,XM_005258131,ENSG00000101574,METTL4,HsT661,methyltransferase like 4,protein-coding
chr21-29,chr21,18762191,18762364,+,1,NA,Intergenic,HAL1|LINE|L1,-48930,NR_037586,100505929,Hs.46707,NM_001005521,ENSG00000232560,C21orf37,-,chromosome 21 open reading frame 37,ncRNA
chr2-7894,chr2,177234424,177234597,+,1,NA,Intergenic,MER121|DNA|TcMar?,100388,NM_006554,10651,Hs.470728,NM_006554,ENSG00000128654,MTX2,-,metaxin 2,protein-coding
chr1-3169,chr1,223883559,223883732,+,1,NA,Intergenic,Intergenic,-5649,NM_001146068,824,Hs.350899,NM_001146068,ENSG00000162909,CAPN2,CANP2|CANPL2|CANPml|mCANP,"calpain 2: (m/II) large subunit",protein-coding
chr2-373,chr2,67600419,67600592,+,1,NA,Intergenic,Intergenic,-23936,NM_019002,54465,Hs.353022,XM_005264374,ENSG00000143971,ETAA1,ETAA16,Ewing tumor-associated antigen 1,protein-coding
chr2-4995,chr2,48499970,48500143,+,1,NA,Intergenic,Intergenic,-41738,NM_002158,3344,Hs.468478,XM_005264282,ENSG00000170802,FOXN2,HTLF,forkhead box N2,protein-coding
chr1-82,chr1,119200285,119200458,+,1,NA,Intergenic,L1M5|LINE|L1,331807,NM_152380,6913,Hs.146196,XM_005271161,ENSG00000092607,TBX15,TBX14,T-box 15,protein-coding
chr3-202,chr3,18886093,18886266,+,1,NA,Intergenic,L2c|LINE|L2,-303837,NM_144633,131096,Hs.475656,XM_005264861,ENSG00000183960,KCNH8,ELK|ELK1|Kv12.1|elk3,"potassium voltage-gated channel: subfamily H (eag-related): member 8",protein-coding
chr3-956,chr3,95973694,95973867,+,1,NA,Intergenic,Intergenic,-105027,NR_107027,102465864,,NR_107027,,MIR8060,hsa-mir-8060,microRNA mir-8060,ncRNA
chr5-3437,chr5,164399976,164400149,+,1,NA,Intergenic,LTR25-int|LTR|ERV1,502778,NR_105065,102546299,Hs.437730,NR_105065,,LOC102546299,-,uncharacterized LOC102546299,ncRNA
chr9-457,chr9,30644152,30644325,+,1,NA,Intergenic,Intergenic,-235787,NR_046204,401497,Hs.680131,NR_046204,,LOC401497,-,uncharacterized LOC401497,ncRNA
chr3-8337,chr3,190790700,190790873,+,1,NA,Intergenic,Intergenic,-139535,NM_198184,344901,Hs.526794,XM_005247428,ENSG00000188729,OSTN,MUSCLIN,osteocrin,protein-coding
chr18-724,chr18,27311883,27312056,+,1,NA,Intergenic,AT_rich|Low_complexity|Low_complexity,-566906,NR_031684,100302131,,NR_031684,,MIR302F,MIRN302F|hsa-mir-302f,microRNA 302f,ncRNA
chr16-171,chr16,62267436,62267609,+,1,NA,Intergenic,Intergenic,-196784,NM_001796,1006,Hs.368322,XM_005255759,ENSG00000150394,CDH8,Nbla04261,"cadherin 8: type 2",protein-coding
chr5-3455,chr5,165600345,165600518,+,1,NA,Intergenic,Tigger15a|DNA|TcMar-Tigger,752943,NR_108020,102557615,,NR_108020,,LOC102557615,-,uncharacterized LOC102557615,ncRNA
chr2-991,chr2,81396635,81396808,+,1,NA,Intergenic,L1MA4|LINE|L1,297348,NR_110161,100507201,Hs.98589,XR_109949,,AC012075.2,-,uncharacterized LOC100507201,ncRNA
chr11-1779,chr11,113412833,113413006,+,1,NA,Intergenic,L1ME4a|LINE|L1,-66919,NM_000795,1813,Hs.73893,XM_005271425,ENSG00000149295,DRD2,D2DR|D2R,dopamine receptor D2,protein-coding
chr18-348,chr18,38017732,38017905,+,1,NA,Intergenic,Intergenic,-685860,NR_024391,647946,Hs.649350,NR_024391,ENSG00000267374,LINC00669,RP11-244M2.1,long intergenic non-protein coding RNA 669,ncRNA
chr4-1278,chr4,77737164,77737337,+,1,NA,Intergenic,L1MA3|LINE|L1,81751,NM_001029870,345079,Hs.257292,NM_001029870,ENSG00000186212,SOWAHB,ANKRD56,sosondowah ankyrin repeat domain family member B,protein-coding
chr10-326,chr10,8387854,8388027,+,1,NA,Intergenic,Intergenic,-77673,NR_108058,100507143,Hs.258979,XR_109005,ENSG00000232170,LINC00708,GS1-756B1.2,long intergenic non-protein coding RNA 708,ncRNA
chr9-1366,chr9,103447004,103447177,+,1,NA,Intergenic,L1MC4a|LINE|L1,106730,NM_001018116,347273,Hs.733374,NM_001018116,ENSG00000170681,MURC,CAVIN4|cavin-4,muscle-related coiled-coil protein,protein-coding
chr3-2813,chr3,135420635,135420808,+,1,NA,Intergenic,L1PA15|LINE|L1,-263793,NM_001190447,5523,Hs.518155,NM_001190447,ENSG00000073711,PPP2R3A,PPP2R3|PR130|PR72,"protein phosphatase 2: regulatory subunit B'': alpha",protein-coding
chr10-342,chr10,10823143,10823316,+,1,NA,Intergenic,Tigger3a|DNA|TcMar-Tigger,13647,NR_027082,207107,Hs.31562,NR_027082,ENSG00000225383,SFTA1P,RP1-186E20.2|SFTPF,"surfactant associated 1: pseudogene",pseudo
chr6-7106,chr6,145361823,145361996,+,1,NA,Intergenic,Tigger3a|DNA|TcMar-Tigger,-694095,NR_038246,100507557,Hs.124537,XR_245497,ENSG00000235652,RP11-545I5.3,-,uncharacterized LOC100507557,ncRNA
chr4-2153,chr4,13561217,13561390,+,1,NA,Intergenic,Intergenic,-11856,NR_015450,285548,Hs.745454,NR_015450,,LINC01096,-,long intergenic non-protein coding RNA 1096,ncRNA
chr15-477,chr15,37985581,37985754,+,1,NA,Intergenic,Intergenic,-241789,NM_152453,145942,Hs.179646,XM_005254168,ENSG00000166069,TMCO5A,TMCO5,transmembrane and coiled-coil domains 5A,protein-coding
chr5-2857,chr5,110495481,110495654,+,1,NA,Intergenic,MIR|SINE|MIR,-64379,NM_001744,814,Hs.591269,XM_005272094,,CAMK4,CaMK IV|CaMK-GR|IV|caMK,calcium/calmodulin-dependent protein kinase IV,protein-coding
chr6-4012,chr6,49756310,49756483,+,1,NA,Intergenic,L1MC3|LINE|L1,-1344,NM_138733,5232,Hs.367727,NM_138733,ENSG00000170950,PGK2,HEL-S-272|PGKB|PGKPS|dJ417L20.2,phosphoglycerate kinase 2,protein-coding
chr9-3468,chr9,122862429,122862602,+,1,NA,Intergenic,Intergenic,144812,NR_029604,406939,,NR_029604,ENSG00000207814,MIR147A,MIR147|MIRN147|hsa-mir-147a,microRNA 147a,ncRNA
chr15-160,chr15,26755533,26755706,+,1,NA,Intergenic,L1MCa|LINE|L1,118705,NM_001191321,2562,Hs.727263,NM_000814,ENSG00000166206,GABRB3,ECA5,"gamma-aminobutyric acid (GABA) A receptor: beta 3",protein-coding
chr5-748,chr5,51838309,51838482,+,1,NA,Intergenic,Intergenic,-245378,NM_015946,53918,Hs.644352,XM_005248543,,PELO,PRO1770,pelota homolog (Drosophila),protein-coding
chr5-2934,chr5,116506900,116507073,+,1,NA,Intergenic,L2|LINE|L2,-244221,NR_046089,728342,Hs.434420,NR_046089,,LINC00992,-,long intergenic non-protein coding RNA 992,ncRNA
chr4-2894,chr4,67805252,67805425,+,1,NA,Intergenic,L2c|LINE|L2,605917,NM_001812,1060,Hs.479867,XR_245245,ENSG00000145241,CENPC,CENP-C|CENPC1|MIF2|hcp-4,centromere protein C,protein-coding
chr5-1534,chr5,17698022,17698195,+,1,NA,Intergenic,Intergenic,-310690,NR_033975,401177,Hs.508311,NR_033975,ENSG00000250822,LOC401177,-,uncharacterized LOC401177,ncRNA
chr1-153,chr1,87006169,87006342,+,1,NA,Intergenic,Intergenic,-6503,NR_024602,22802,Hs.567422,NM_012128,ENSG00000016602,CLCA4,CaCC|CaCC2,chloride channel accessory 4,protein-coding
chr1-2998,chr1,206308802,206308975,+,1,NA,Intergenic,Intergenic,-8570,NM_001910,1510,Hs.644082,NM_001910,ENSG00000196188,CTSE,CATE,cathepsin E,protein-coding
chr15-1133,chr15,39097034,39097207,+,1,NA,Intergenic,L2a|LINE|L2,108322,NM_207444,400359,Hs.448785,NM_207444,ENSG00000175779,C15orf53,-,chromosome 15 open reading frame 53,protein-coding
chr4-273,chr4,118269580,118269753,+,1,NA,Intergenic,Intergenic,-262931,NM_152402,133022,Hs.570737,NM_152402,ENSG00000174599,TRAM1L1,-,translocation associated membrane protein 1-like 1,protein-coding
chr3-3548,chr3,187549512,187549685,+,1,NA,Intergenic,Intergenic,-86086,NM_001706,604,Hs.478588,XM_005247694,ENSG00000113916,BCL6,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51,B-cell CLL/lymphoma 6,protein-coding
chr17-327,chr17,56831101,56831274,+,1,NA,Intergenic,Intergenic,-2042,NM_014906,22843,Hs.245044,XM_005257168,,PPM1E,CaMKP-N|POPX1|PP2CH|caMKN,"protein phosphatase: Mg2+/Mn2+ dependent: 1E",protein-coding
chr10-1706,chr10,2241867,2242040,+,1,NA,Intergenic,L1ME3B|LINE|L1,115314,NR_038884,399708,Hs.521270,NR_038884,,LINC00701,RP11-311B18.1,long intergenic non-protein coding RNA 701,ncRNA
chr12-305,chr12,87734867,87735040,+,1,NA,Intergenic,MLT1J|LTR|ERVL-MaLR,443534,NR_033410,400058,Hs.572212,NR_033410,,MKRN9P,MKRN5|MKRN9|MKRNP6|RNF65|ZNF127L3,"makorin ring finger protein 9: pseudogene",pseudo
chr18-1403,chr18,4637732,4637905,+,1,NA,Intergenic,Intergenic,-182553,NM_004746,9229,Hs.654793,XM_005258171,ENSG00000170579,DLGAP1,DAP-1|DAP-1-ALPHA|DAP-1-BETA|GKAP|SAPAP1|hGKAP,"discs: large (Drosophila) homolog-associated protein 1",protein-coding
chr5-1432,chr5,174503847,174504020,+,1,NA,Intergenic,MER101-int|LTR|ERV1,-81200,NR_046113,441116,Hs.533036,NM_001004348,ENSG00000204754,FLJ16171,-,FLJ16171 protein,ncRNA
chr7-2394,chr7,129462022,129462195,+,1,NA,Intergenic,Intergenic,-47255,NR_029615,406959,,NR_029615,ENSG00000207691,MIR183,MIRN183|miR-183|miRNA183,microRNA 183,ncRNA
chr4-2534,chr4,43254693,43254866,+,1,NA,Intergenic,Intergenic,359497,NM_001080476,389207,Hs.162559,NM_001080476,ENSG00000215203,GRXCR1,DFNB25,"glutaredoxin: cysteine rich 1",protein-coding
chr9-208,chr9,89787801,89787974,+,1,NA,Intergenic,FLAM_A|SINE|Alu,24329,NM_001001709,401535,Hs.657740,NM_001001709,ENSG00000204446,C9orf170,-,chromosome 9 open reading frame 170,protein-coding
chr1-5648,chr1,164171521,164171694,+,1,NA,Intergenic,L1MA2|LINE|L1,-356989,NM_001204963,5087,Hs.557097,XM_005245228,ENSG00000185630,PBX1,-,pre-B-cell leukemia homeobox 1,protein-coding
chr5-64,chr5,99935573,99935746,+,1,NA,Intergenic,Intergenic,64536,NM_198507,345757,Hs.356108,XM_005271986,ENSG00000174132,FAM174A,TMEM157|UNQ1912,"family with sequence similarity 174: member A",protein-coding
chr6-2807,chr6,126812135,126812308,+,1,NA,Intergenic,L1MA8|LINE|L1,151287,NM_001286525,387103,Hs.486401,XM_005266966,ENSG00000203760,CENPW,C6orf173|CENP-W|CUG2,centromere protein W,protein-coding
chr1-4840,chr1,96938959,96939132,+,1,NA,Intergenic,MER5A1|DNA|hAT-Charlie,-248129,NM_021190,58155,Hs.743449,XM_005271084,ENSG00000117569,PTBP2,PTB|PTBLP|brPTB|nPTB|nPTB5|nPTB6|nPTB7|nPTB8,polypyrimidine tract binding protein 2,protein-coding
